Team	Life Cycle	Stage	Customer Onboarding Process	Team	Checklist	Questionnaire	Required Fields	Documents
CVRM	Lead	1	Onboarding Initiation	Sales	--	--	SOW	--
CVRM		2	Application Submission	Sales	--	按照原型配置 & Sheet：【Integration Questionnaire】Stage 1：Lead 部分	--	--
CVRM		3	Sales Approval	Sales	--		SOW	--
CVRM	SQL	4	Deal Creation	Sales	--	--	--	Yes
CVRM		5	Questionnaire Submission	Sales/WISE Support	--	按照原型配置（参考【Application Form】）& Sheet：【From Tom】 condition:Sales Ralted=Y,同一个问卷，加section即可	--	--
CVRM		6	Contract Review and Finalization	Sales	SOW&按照原型配置	上传文件类型用问卷形式上传，因为需要规定文件类型。	--	--
CVRM	Customer	7	Customer Account and Credit Limit Approval	Accounting	--	--	SOW	--
CVRM		8	Account Managers Assignment	CSR	SOW&按照原型配置	--	SOW	--
CVRM		9	Implementation Planning	Implementation	--	按照原型配置	--	Yes
CVRM		10	IT Customization Quotation	Implementation	--	--	--	Yes
CVRM		11	Integration Setup	Implementation	--存疑问，shelia说是问卷，sow写的Checklist。不知道具体和Amanda沟通的哪一版本，我们先配置问卷。	Sheet：【From Tom】69-71&105-107 & Sheet：【Integration Questionnaire】Stage 2部分（不同section）	--	--
Wesley		12	WMS Configuration	WISE Support	--	Wesley	--	--
CVRM		13	Billing Setup	Billing	--	Sheet：【From Tom】billing retaled = Yes or Y	--	--
Wesley		14	System Setup Validation	WISE Support/Billing	--	Wesley	--	--
CVRM		15	Portal Access and Auto Report Setup	WISE Support	ChatGPT	--	--	--
CVRM		1月15日	customer ready	无	--	--	--	--
CVRM		16	UAT Completion	WISE Support/Implementation?	shelia提供的word【EDI UAT Checklist】	--	--	--
CVRM		17	Training and Go Live	WISE Support	shelia提供的word【EDI Go live Checklist】	--	--	Yes
CVRM		18	Monitoring & SOP Delivery	WISE Support	ChatGPT &（inbound&outbound sop是否移交）IN/ON分两个checklist	--	--	Yes
CVRM		19	Onboarding Completion	WISE Support/Implementation?	shelia提供的word【EDI Onboarding Checklist】	--	--	Yes
