Component,Import Path,Use Case,Key Props,Example
Button,@/components/ui/button,Actions and CTAs,"variant, size, disabled","<Button variant=""default"">Click</Button>"
Input,@/components/ui/input,Text input,"type, placeholder, disabled","<Input placeholder=""Enter text"" />"
Select,@/components/ui/select,Dropdown selection,"options, value, onChange","<Select options={items} />"
Dialog,@/components/ui/dialog,Modal dialogs,"open, onOpenChange","<Dialog open={isOpen}>...</Dialog>"
Table,@/components/ui/table,Data tables,"columns, data","<Table><TableBody>...</TableBody></Table>"
Card,@/components/ui/card,Content containers,className,"<Card><CardHeader>...</CardHeader></Card>"
Badge,@/components/ui/badge,Status indicators,"variant, className","<Badge variant=""success"">Active</Badge>"
Tabs,@/components/ui/tabs,Tab navigation,"defaultValue, items","<Tabs defaultValue=""tab1"">...</Tabs>"
Dropdown,@/components/ui/dropdown-menu,Action menus,"trigger, items","<DropdownMenu>...</DropdownMenu>"
Checkbox,@/components/ui/checkbox,Boolean input,"checked, onCheckedChange","<Checkbox checked={value} />"
RadioGroup,@/components/ui/radio-group,Single selection,"value, onValueChange","<RadioGroup value={selected} />"
Switch,@/components/ui/switch,Toggle input,"checked, onCheckedChange","<Switch checked={enabled} />"
Slider,@/components/ui/slider,Range input,"value, onValueChange, min, max","<Slider value={[50]} />"
DatePicker,@/components/ui/date-picker,Date selection,"value, onChange","<DatePicker value={date} />"
MultiSelect,@/components/ui/multi-select,Multiple selection,"options, value, onChange","<MultiSelect options={items} />"
FileUpload,@/components/ui/file-upload,File upload,"accept, onChange","<FileUpload accept=""image/*"" />"
ColorPicker,@/components/ui/color-picker,Color selection,"value, onChange","<ColorPicker value=""#6B46C1"" />"
PageHeader,@/components/ui/page-header,Page title and actions,"title, extra","<PageHeader title=""Users"" />"
ScrollArea,@/components/ui/scroll-area,Scrollable content,className,"<ScrollArea>...</ScrollArea>"
Separator,@/components/ui/separator,Visual divider,"orientation, className","<Separator />"
